Total number of dumps: 2501

z[A]	mass_density_amide[g/cm^3]
0.0	0.0
0.1	5.762373277090124e-06
0.2	3.745542630108581e-05
0.3	0.00023769789767996764
0.4	0.0007274996262326282
0.5	0.0012763656808754626
0.6	0.002218513711679698
0.7	0.004352032417522317
0.8	0.0077042930714694945
0.9	0.012155726428021617
1.0	0.01873779730377781
1.1	0.041847795331547755
1.2	0.10819432065064419
1.3	0.21872240247850985
1.4	0.2597447378381144
1.5	0.22374575138281314
1.6	0.24045375269973598
1.7	0.23567674525302826
1.8	0.20874773433586685
1.9	0.22041654022197435
2.0	0.2684084660602194
2.1	0.32435678880080665
2.2	0.3798340375259919
2.3	0.4273635329087505
2.4	0.4586661851432233
2.5	0.4830237369854833
2.6	0.5265656700604956
2.7	0.5592023117086147
2.8	0.5665925554364829
2.9	0.5381005007679107
3.0	0.4938080185735575
3.1	0.4438712917542945
3.2	0.3852434654398602
3.3	0.3378277769293242
3.4	0.30438872480237017
3.5	0.26829898096795474
3.6	0.22116997052795384
3.7	0.17524097432290706
3.8	0.15248392165835886
3.9	0.14312006508308742
4.0	0.15464769282390622
4.1	0.168030804759948
4.2	0.1828098516223649
4.3	0.18398969755084915
4.4	0.1778599729773445
4.5	0.16385020294741914
4.6	0.14172557075003162
4.7	0.12331478812972867
4.8	0.10974728024881994
4.9	0.10222882371553663
5.0	0.09718818769140203
5.1	0.0945360553906213
5.2	0.0958268270046895
5.3	0.0963295940731156
5.4	0.09901774120687813
5.5	0.1041217633370607
5.6	0.11117058644826122
5.7	0.11881437460032127
5.8	0.12421371836095471
5.9	0.1310478930675836
6.0	0.1399838934270311
6.1	0.14712923629062288
6.2	0.15788614660563086
6.3	0.17859899735013132
6.4	0.2036609993255155
6.5	0.23443351321849604
6.6	0.2679820504377148
6.7	0.2982964556551666
6.8	0.33341812077903094
6.9	0.3647755155596361
7.0	0.39090931896455916
7.1	0.41385508935393195
7.2	0.42496638562548106
7.3	0.43270381234329375
7.4	0.42722523595010037
7.5	0.4128250651306522
7.6	0.38610494024478526
7.7	0.35511489676059455
7.8	0.3249575162149434
7.9	0.2914291473021945
8.0	0.2633058845233561
8.1	0.2324584597777734
8.2	0.2049431273796681
8.3	0.18849443286021433
8.4	0.1748966725196009
8.5	0.16395536625972604
8.6	0.14570737068450085
8.7	0.13269881301146993
8.8	0.11290938258462314
8.9	0.08522550076816293
9.0	0.061367834807690556
9.1	0.041633146926976144
9.2	0.02464855169275301
9.3	0.015375452496595722
9.4	0.008107659200865805
9.5	0.00381325051611439
9.6	0.0018338752954339319
9.7	0.0010588360896653104
9.8	0.0004898017285526606
9.9	0.00022761374444505992
10.0	0.0001483811118850707
10.1	8.211381919853428e-05
10.2	3.457423966254074e-05
10.3	1.2965339873452778e-05
10.4	4.3217799578175925e-06
10.5	0.0
10.6	0.0
10.7	0.0
10.8	0.0
10.9	0.0
11.0	0.0
11.1	0.0
11.2	0.0
11.3	0.0
11.4	0.0
11.5	0.0
11.6	0.0
11.7	0.0
11.8	0.0
11.9	0.0
12.0	0.0
12.1	0.0
12.2	0.0
12.3	0.0
12.4	0.0
12.5	0.0
12.6	0.0
12.7	0.0
12.8	0.0
12.9	0.0
13.0	0.0
13.1	0.0
13.2	0.0
13.3	0.0
13.4	0.0
13.5	0.0
13.6	0.0
13.7	0.0
13.8	0.0
13.9	0.0
14.0	0.0
14.1	0.0
14.2	0.0
14.3	0.0
14.4	0.0
14.5	0.0
14.6	0.0
14.7	0.0
14.8	0.0
14.9	0.0
15.0	0.0
15.1	0.0
15.2	0.0
15.3	0.0
15.4	0.0
15.5	0.0
15.6	0.0
15.7	0.0
15.8	0.0
15.9	0.0
16.0	0.0
16.1	0.0
16.2	0.0
16.3	0.0
16.4	0.0
16.5	0.0
16.6	0.0
16.7	0.0
16.8	0.0
16.9	0.0
17.0	0.0
17.1	0.0
17.2	0.0
17.3	0.0
17.4	0.0
17.5	0.0
17.6	0.0
17.7	0.0
17.8	0.0
17.9	0.0
18.0	0.0
18.1	0.0
18.2	0.0
18.3	0.0
18.4	0.0
18.5	0.0
18.6	0.0
18.7	0.0
18.8	0.0
18.9	0.0
19.0	0.0
19.1	0.0
19.2	0.0
19.3	0.0
19.4	0.0
19.5	0.0
19.6	0.0
19.7	0.0
19.8	0.0
19.9	0.0
