Total number of dumps: 2501

z[A]	mass_density_pao[g/cm^3]
0.0	0.0
0.1	0.0
0.2	0.0
0.3	0.0
0.4	0.0
0.5	2.881186638545062e-06
0.6	4.3217799578175925e-06
0.7	2.881186638545062e-05
0.8	0.00012389102545743764
0.9	0.00035726714317958774
1.0	0.0007519897126602612
1.1	0.0013354300069656363
1.2	0.002159449385589524
1.3	0.002727043153382901
1.4	0.003193795388827201
1.5	0.0033609042138628147
1.6	0.003860790095650383
1.7	0.004032220700643814
1.8	0.005860333622800656
1.9	0.008764569754454079
2.0	0.014511096505032205
2.1	0.022372414248302403
2.2	0.03233555764439123
2.3	0.03967394001276551
2.4	0.04646777810645476
2.5	0.050541776013357485
2.6	0.057352901226878
2.7	0.05625805030423088
2.8	0.05935532594066682
2.9	0.059147880502691576
3.0	0.05480161045844636
3.1	0.04827284153550324
3.2	0.04186364185805975
3.3	0.037173070010508395
3.4	0.03122630078855138
3.5	0.0271609464415643
3.6	0.02453618541384975
3.7	0.021132063400408758
3.8	0.020623533958705555
3.9	0.018982698168054143
4.0	0.01704077837367477
4.1	0.016329125273954137
4.2	0.015797546339142574
4.3	0.015454685129155711
4.4	0.015852288885274932
4.5	0.016295991627610872
4.6	0.015528155388438613
4.7	0.014181200634918794
4.8	0.015211224858198655
4.9	0.014260433267478783
5.0	0.015448922755878624
5.1	0.016748337929862446
5.2	0.016151932295683617
5.3	0.017438382129793987
5.4	0.01830417871467678
5.5	0.019921965012219833
5.6	0.021989216425375914
5.7	0.02506776434866131
5.8	0.027987847006826733
5.9	0.03228225569157815
6.0	0.037126971024291675
6.1	0.04368455181362023
6.2	0.05043229092109277
6.3	0.05876612327308436
6.4	0.06548793170080999
6.5	0.07785542534676466
6.6	0.08792517264847965
6.7	0.09818940004829645
6.8	0.10451360471990286
6.9	0.11635240061768451
7.0	0.11627172739180527
7.1	0.12104297246523589
7.2	0.11838075601122024
7.3	0.11543618326662719
7.4	0.10784281588074168
7.5	0.09930009749745557
7.6	0.08591698556141375
7.7	0.07399031347115646
7.8	0.06302019534489614
7.9	0.05147239929760753
8.0	0.03864247519616637
8.1	0.03007958850641045
8.2	0.02204395897150827
8.3	0.01677282801629008
8.4	0.013087790305590943
8.5	0.010390999611912765
8.6	0.007846911810077475
8.7	0.0066065609621838274
8.8	0.0049527598316589615
8.9	0.003692240677295497
9.0	0.002539766021877472
9.1	0.0016105833309466898
9.2	0.001109256855839849
9.3	0.0006626729268653643
9.4	0.00037743544964940313
9.5	0.0002218513711679698
9.6	0.00013253458537307287
9.7	8.643559915635186e-05
9.8	3.889601962035834e-05
9.9	2.1608899789087965e-05
10.0	7.202966596362655e-06
10.1	2.881186638545062e-06
10.2	0.0
10.3	0.0
10.4	0.0
10.5	0.0
10.6	0.0
10.7	0.0
10.8	0.0
10.9	0.0
11.0	0.0
11.1	0.0
11.2	0.0
11.3	0.0
11.4	0.0
11.5	0.0
11.6	0.0
11.7	0.0
11.8	0.0
11.9	0.0
12.0	0.0
12.1	0.0
12.2	0.0
12.3	0.0
12.4	0.0
12.5	0.0
12.6	0.0
12.7	0.0
12.8	0.0
12.9	0.0
13.0	0.0
13.1	0.0
13.2	0.0
13.3	0.0
13.4	0.0
13.5	0.0
13.6	0.0
13.7	0.0
13.8	0.0
13.9	0.0
14.0	0.0
14.1	0.0
14.2	0.0
14.3	0.0
14.4	0.0
14.5	0.0
14.6	0.0
14.7	0.0
14.8	0.0
14.9	0.0
15.0	0.0
15.1	0.0
15.2	0.0
15.3	0.0
15.4	0.0
15.5	0.0
15.6	0.0
15.7	0.0
15.8	0.0
15.9	0.0
16.0	0.0
16.1	0.0
16.2	0.0
16.3	0.0
16.4	0.0
16.5	0.0
16.6	0.0
16.7	0.0
16.8	0.0
16.9	0.0
17.0	0.0
17.1	0.0
17.2	0.0
17.3	0.0
17.4	0.0
17.5	0.0
17.6	0.0
17.7	0.0
17.8	0.0
17.9	0.0
18.0	0.0
18.1	0.0
18.2	0.0
18.3	0.0
18.4	0.0
18.5	0.0
18.6	0.0
18.7	0.0
18.8	0.0
18.9	0.0
19.0	0.0
19.1	0.0
19.2	0.0
19.3	0.0
19.4	0.0
19.5	0.0
19.6	0.0
19.7	0.0
19.8	0.0
19.9	0.0
