Total number of dumps: 2500

z[A]	mass_density_pao[g/cm^3]
0.0	0.0
0.1	0.0
0.2	0.0
0.3	0.0
0.4	0.0
0.5	0.0
0.6	0.0
0.7	0.0
0.8	1.1529356452801921e-05
0.9	5.188210403760864e-05
1.0	0.0001772638554618295
1.1	0.000438115545206473
1.2	0.000948289568242958
1.3	0.00150169867797745
1.4	0.0022597538647491765
1.5	0.002950074082360691
1.6	0.0034890714965291813
1.7	0.004212538613942502
1.8	0.005031122922091438
1.9	0.00636420476194666
2.0	0.009520366090901186
2.1	0.014374225157530793
2.2	0.021025222661240905
2.3	0.030108914376492213
2.4	0.03784943606499211
2.5	0.04808029874729722
2.6	0.055665174123684276
2.7	0.057579047294849396
2.8	0.0636780768583816
2.9	0.06748852916603265
3.0	0.06781423348582429
3.1	0.07193453724814439
3.2	0.07024981003647872
3.3	0.06752888191361746
3.4	0.06734873571904243
3.5	0.06442460268870052
3.6	0.060563709446568484
3.7	0.05910668702484566
3.8	0.055809291079344306
3.9	0.053653301422670344
4.0	0.05201036812814606
4.1	0.0480010344216842
4.2	0.04712192099215804
4.3	0.04432028737412718
4.4	0.043165910559290394
4.5	0.04052136442292895
4.6	0.03971719181034602
4.7	0.0384114921920662
4.8	0.03861037359087703
4.9	0.0365912950420801
5.0	0.03525244852399847
5.1	0.035157331333262855
5.2	0.03565309366073334
5.3	0.03584044570309136
5.4	0.03645294276464647
5.5	0.03651203071646708
5.6	0.03872134364673525
5.7	0.039192606091743534
5.8	0.039364105268978954
5.9	0.04185300509322758
6.0	0.044709403154409244
6.1	0.04777332963174135
6.2	0.05179275152509943
6.3	0.055283264191185205
6.4	0.061101265691180386
6.5	0.06650421035887469
6.6	0.07485722910892968
6.7	0.08063776020045323
6.8	0.08977909869796856
6.9	0.09824596984299497
7.0	0.10648801853719173
7.1	0.11579509153371607
7.2	0.12648712847413324
7.3	0.13426079706243496
7.4	0.1404448556298066
7.5	0.14724573476740313
7.6	0.15675601267140812
7.7	0.16355400946989143
7.8	0.16888057215108596
7.9	0.1765461530226426
8.0	0.1819087449427521
8.1	0.18274318211602364
8.2	0.182554388904109
8.3	0.1775895597816212
8.4	0.18178912786955428
8.5	0.1764351829667844
8.6	0.17195170447620103
8.7	0.16836607461937964
8.8	0.16320380526763759
8.9	0.15570828240375975
9.0	0.15181712460093907
9.1	0.14894199133552158
9.2	0.14368316362348732
9.3	0.1394144193968374
9.4	0.13524367470003631
9.5	0.12745847675528182
9.6	0.12376475918171541
9.7	0.11899448794936862
9.8	0.11271242985214817
9.9	0.11090376205861488
10.0	0.10894809497030834
10.1	0.10361432644133085
10.2	0.10384923707905669
10.3	0.10003734360184906
10.4	0.10140357234150608
10.5	0.10127674942052527
10.6	0.10166010052258094
10.7	0.10373682585364188
10.8	0.10462458630050762
10.9	0.10831974504363062
11.0	0.10964129752703305
11.1	0.11238384319324331
11.2	0.11580085621194249
11.3	0.12406884595815808
11.4	0.12708233150100917
11.5	0.133262066559711
11.6	0.13960465377830863
11.7	0.14854134619878678
11.8	0.15566648848661832
11.9	0.16352806841787262
12.0	0.17219382096170988
12.1	0.17744544282596117
12.2	0.1867280159400233
12.3	0.19620082343555667
12.4	0.20396008032829238
12.5	0.2118951599069333
12.6	0.21646943207958247
12.7	0.2249579207679579
12.8	0.2282769342568082
12.9	0.2328209418687688
13.0	0.2348486674349053
13.1	0.23869659015102793
13.2	0.23309908759319262
13.3	0.22882890219698612
13.4	0.2276457019910173
13.5	0.22419554207251635
13.6	0.21713957592340158
13.7	0.21009802146985282
13.8	0.20278264480054997
13.9	0.19630170530451868
14.0	0.18446682090571753
14.1	0.17503580732732557
14.2	0.16531079515938712
14.3	0.15712495207789776
14.4	0.14947234173235052
14.5	0.1368116671776174
14.6	0.13036243341183132
14.7	0.12394922888496025
14.8	0.1176311415488248
14.9	0.11211146214704587
15.0	0.10480329132552606
15.1	0.09773435465040187
15.2	0.09622112661597164
15.3	0.09030368441657104
15.4	0.0918414123334635
15.5	0.08901383766341382
15.6	0.0899995976401284
15.7	0.09164973678243567
15.8	0.09351749252778958
15.9	0.096046745099623
16.0	0.09937728794492616
16.1	0.10598793270105145
16.2	0.10872471368903532
16.3	0.11719879068184472
16.4	0.12395211122407344
16.5	0.12885785239474065
16.6	0.13823842503865164
16.7	0.14738841055350652
16.8	0.15635536753467325
16.9	0.16676781758110998
17.0	0.1783476149683929
17.1	0.18524649363583826
17.2	0.19945354312480343
17.3	0.20351908244397268
17.4	0.21804318923538993
17.5	0.22131896763754225
17.6	0.22949328136257882
17.7	0.23090274518893383
17.8	0.23187553463963903
17.9	0.23065054051652883
18.0	0.22855940348990186
18.1	0.22481956849052426
18.2	0.215894405426499
18.3	0.20757597474580236
18.4	0.19487494744348446
18.5	0.17638762437141656
18.6	0.16059384720063458
18.7	0.14283719709376297
18.8	0.12559792685771093
18.9	0.10662925315373856
19.0	0.08921271906222465
19.1	0.07504313998173111
19.2	0.060840414001435736
19.3	0.04932114573553001
19.4	0.037719730804898086
19.5	0.02910730153465505
19.6	0.022077276437559076
19.7	0.016087775760328483
19.8	0.013176613255995995
19.9	0.00954918948203319
20.0	0.007378788129793229
20.1	0.00527612174671348
20.2	0.003973304467546862
20.3	0.0029572799301436927
20.4	0.0021934600651455655
20.5	0.0012711115489214117
20.6	0.0009627012638089604
20.7	0.0005519679401778919
20.8	0.00035741005003685954
20.9	0.0001873520423580312
21.0	0.00015420514255622567
21.1	7.494081694321248e-05
21.2	5.76467822640096e-05
21.3	4.179391714140696e-05
21.4	3.026456068860504e-05
21.5	2.3058712905603842e-05
21.6	8.64701733960144e-06
21.7	2.8823391132004802e-06
21.8	2.8823391132004802e-06
21.9	2.8823391132004802e-06
