Total number of dumps: 2500

z[A]	mass_density_c9ester[g/cm^3]
0.0	0.0
0.1	0.0
0.2	0.0
0.3	0.0
0.4	0.0
0.5	1.4411695566002401e-06
0.6	3.314689980180552e-05
0.7	0.0002320282986126386
0.8	0.001050612606761575
0.9	0.003349278049538958
1.0	0.0070819072011335795
1.1	0.011457297974971909
1.2	0.015231721043707935
1.3	0.01829708869059665
1.4	0.02383694446616797
1.5	0.07182933187051256
1.6	0.24883521798171068
1.7	0.3633029923537979
1.8	0.24881504160791823
1.9	0.1736234611618573
2.0	0.17027706545143156
2.1	0.19505653480761606
2.2	0.23080762799819823
2.3	0.27283069109910457
2.4	0.3028070178763897
2.5	0.3319690838541955
2.6	0.3686151433394264
2.7	0.4460045073593027
2.8	0.5431580706783947
2.9	0.5250065401130146
3.0	0.4754706601135512
3.1	0.47441860633723293
3.2	0.45581887203975036
3.3	0.41511159674401993
3.4	0.35599049802360827
3.5	0.29046340062410864
3.6	0.23793421145558644
3.7	0.2040883444188298
3.8	0.1747115441770905
3.9	0.15872032677705422
4.0	0.1459674173706987
4.1	0.14127352812485172
4.2	0.13971850617328005
4.3	0.15823465263647996
4.4	0.1963679991041223
4.5	0.2282495520352328
4.6	0.2496754198332086
4.7	0.24182392808885048
4.8	0.22141696716739107
4.9	0.1958981778286706
5.0	0.16895983647669893
5.1	0.1442408962418916
5.2	0.12291446914332126
5.3	0.1057025811288446
5.4	0.08743143349026677
5.5	0.07899338573637235
5.6	0.06815434950118196
5.7	0.0600665059495414
5.8	0.054977736245185954
5.9	0.05496620688873316
6.0	0.05603555469973053
6.1	0.06099606031354855
6.2	0.06734585337992922
6.3	0.07682442555368901
6.4	0.0810787580847729
6.5	0.0852105912035458
6.6	0.08499441577005575
6.7	0.08358927545237052
6.8	0.07760986296203613
6.9	0.07696854250934902
7.0	0.0731451196756886
7.1	0.07255856366615229
7.2	0.07278482728653853
7.3	0.06954651929285778
7.4	0.07136383410373069
7.5	0.07241877021916206
7.6	0.0707700722464114
7.7	0.06773496916021128
7.8	0.06703023724703376
7.9	0.06747555864002323
8.0	0.0678617920811921
8.1	0.06554150909506572
8.2	0.0658859486190932
8.3	0.06782143933360729
8.4	0.0702181043062335
8.5	0.07156415667209813
8.6	0.07232221185886985
8.7	0.07107271785329744
8.8	0.07167512672795634
8.9	0.07100354171458063
9.0	0.06908822737385892
9.1	0.0653815392742831
9.2	0.06179590941746169
9.3	0.059103804685732446
9.4	0.055147794252864785
9.5	0.053677801305132535
9.6	0.049903378236396505
9.7	0.04937446900912423
9.8	0.046835128250394605
9.9	0.047864123313807176
10.0	0.04404790632792974
10.1	0.04452637462072101
10.2	0.040567481848740164
10.3	0.03930645848671495
10.4	0.03887410761973487
10.5	0.03686079374916434
10.6	0.03469327473603758
10.7	0.03462409859732076
10.8	0.033538897921200794
10.9	0.03408221884403908
11.0	0.03592115119826098
11.1	0.0378321420303129
11.2	0.039810867831525036
11.3	0.04194235760573679
11.4	0.04593151493840625
11.5	0.05191380976785384
11.6	0.05574876195796709
11.7	0.062173495841290956
11.8	0.06466527800465277
11.9	0.07238706448891685
12.0	0.07872100469017491
12.1	0.08177340181105422
12.2	0.08920695438399827
12.3	0.09643441971034847
12.4	0.10257524319102208
12.5	0.1122714319678285
12.6	0.11909536981833062
12.7	0.12993728839263427
12.8	0.13599884754769487
12.9	0.14859899298105075
13.0	0.15433484781631968
13.1	0.15813377076751794
13.2	0.16304671778596816
13.3	0.1662792611014225
13.4	0.1698576851104609
13.5	0.16591176286448944
13.6	0.16600255654655524
13.7	0.15756883230133067
13.8	0.1554618424095811
13.9	0.14808737778845768
14.0	0.14155023267971897
14.1	0.1358042896575538
14.2	0.12701603770140554
14.3	0.11603288451055513
14.4	0.10478023261262044
14.5	0.0972919155965256
14.6	0.08658690813009902
14.7	0.07875126925086352
14.8	0.0660733006614512
14.9	0.0558683790311649
15.0	0.04721992052200687
15.1	0.043174557576629996
15.2	0.03505933180341404
15.3	0.0305960296866231
15.4	0.0246223818745151
15.5	0.0185910872801431
15.6	0.014222902354087769
15.7	0.012221117839970035
15.8	0.008860310433978275
15.9	0.006384381135739064
16.0	0.004290361769998914
16.1	0.0029832209821624967
16.2	0.002089695857070348
16.3	0.0015795218340338632
16.4	0.0010491714372049747
16.5	0.0010635831327709773
16.6	0.0005995265355456999
16.7	0.00034299835447085714
16.8	0.00020320490748063387
16.9	0.00011817590364121969
17.0	2.449988246220408e-05
17.1	9.511719073561584e-05
17.2	3.4588069358405766e-05
17.3	7.2058477830012e-06
17.4	4.32350866980072e-06
17.5	0.0
17.6	0.0
17.7	0.0
17.8	0.0
17.9	0.0
18.0	0.0
18.1	0.0
18.2	0.0
18.3	0.0
18.4	0.0
18.5	0.0
18.6	0.0
18.7	0.0
18.8	0.0
18.9	0.0
19.0	0.0
19.1	0.0
19.2	0.0
19.3	0.0
19.4	0.0
19.5	0.0
19.6	0.0
19.7	0.0
19.8	0.0
19.9	0.0
