Total number of dumps: 2501

z[A]	mass_density_c12amide[g/cm^3]
0.0	0.0
0.1	0.0
0.2	0.0
0.3	0.0
0.4	1.440593319272531e-06
0.5	1.2965339873452778e-05
0.6	0.00011812865218034755
0.7	0.0006396234337570038
0.8	0.0021796176920593395
0.9	0.004957081611616779
1.0	0.009149208170699844
1.1	0.013424889142300719
1.2	0.017582441461721242
1.3	0.022682141811946003
1.4	0.039836727057843295
1.5	0.11446954514939532
1.6	0.2762510560903391
1.7	0.3361768569854378
1.8	0.24774459548857425
1.9	0.1966352257074234
2.0	0.20344058854766683
2.1	0.23571276008601005
2.2	0.275970140393081
2.3	0.32093393907421514
2.4	0.3578491428805738
2.5	0.38803389469929117
2.6	0.4242821037988266
2.7	0.5105650000633356
2.8	0.5959345601634257
2.9	0.5754377984168162
3.0	0.531420469546444
3.1	0.5134764391615854
3.2	0.47637972059699835
3.3	0.42092840255156017
3.4	0.3612071659077981
3.5	0.3070019610835306
3.6	0.25679296212692504
3.7	0.22805888778071512
3.8	0.21046636216575895
3.9	0.1956368945371675
4.0	0.18748889872336208
4.1	0.18094572386722627
4.2	0.1930942473286515
4.3	0.21569283472807974
4.4	0.24439377542794638
4.5	0.2596957576652592
4.6	0.2584568474106848
4.7	0.23809838262272537
4.8	0.21082939168221565
4.9	0.17958004140055592
5.0	0.1503892989721366
5.1	0.1258257422852207
5.2	0.10509992620084677
5.3	0.09240541787141723
5.4	0.08012724101125746
5.5	0.07183662645884403
5.6	0.06674701026185419
5.7	0.059199741862185386
5.8	0.05794498508109901
5.9	0.05805447017336373
6.0	0.05796083160761101
6.1	0.06252895302302422
6.2	0.06685937654075744
6.3	0.07004885014962683
6.4	0.07311731391967731
6.5	0.0789762069491587
6.6	0.08809372206683455
6.7	0.09067526529497091
6.8	0.0983118504804346
6.9	0.10498611932862424
7.0	0.11021547307758352
7.1	0.11849456288344277
7.2	0.12730523162411359
7.3	0.13722947900058202
7.4	0.14654867718295603
7.5	0.15807054255049774
7.6	0.17279340627346298
7.7	0.1860310182842583
7.8	0.19932625402782447
7.9	0.21239819780690344
8.0	0.22394023148091494
8.1	0.23836921416674858
8.2	0.24576089848793595
8.3	0.2539578744745967
8.4	0.25177537559589885
8.5	0.24559955203617748
8.6	0.24430013686219362
8.7	0.2281943035527267
8.8	0.21643185910086649
8.9	0.20370997949837077
9.0	0.18874509609776774
9.1	0.17349929699990654
9.2	0.1582837503617501
9.3	0.14220528832534937
9.4	0.13353003535669017
9.5	0.11844846389722606
9.6	0.10899961231611752
9.7	0.09577496564519568
9.8	0.08263963576006875
9.9	0.07153842364175463
10.0	0.06007418200698381
10.1	0.048301653401888696
10.2	0.0367740256610699
10.3	0.029553771944875972
10.4	0.022604349772705284
10.5	0.017498887049203434
10.6	0.014730066689561632
10.7	0.010720895482026175
10.8	0.008245956159515967
10.9	0.005285536888410916
11.0	0.003968834594595823
11.1	0.002531122461961837
11.2	0.0019981029338310007
11.3	0.0014377121326339859
11.4	0.0007563114926180788
11.5	0.0004480245222937571
11.6	0.00024778205091487534
11.7	0.00010660390562616729
11.8	4.17772062589034e-05
11.9	3.1693053023995686e-05
12.0	1.5846526511997843e-05
12.1	1.440593319272531e-06
12.2	0.0
12.3	0.0
12.4	0.0
12.5	0.0
12.6	0.0
12.7	0.0
12.8	0.0
12.9	0.0
13.0	0.0
13.1	0.0
13.2	0.0
13.3	0.0
13.4	0.0
13.5	0.0
13.6	0.0
13.7	0.0
13.8	0.0
13.9	0.0
14.0	0.0
14.1	0.0
14.2	0.0
14.3	0.0
14.4	0.0
14.5	0.0
14.6	0.0
14.7	0.0
14.8	0.0
14.9	0.0
15.0	0.0
15.1	0.0
15.2	0.0
15.3	0.0
15.4	0.0
15.5	0.0
15.6	0.0
15.7	0.0
15.8	0.0
15.9	0.0
16.0	0.0
16.1	0.0
16.2	0.0
16.3	0.0
16.4	0.0
16.5	0.0
16.6	0.0
16.7	0.0
16.8	0.0
16.9	0.0
17.0	0.0
17.1	0.0
17.2	0.0
17.3	0.0
17.4	0.0
17.5	0.0
17.6	0.0
17.7	0.0
17.8	0.0
17.9	0.0
18.0	0.0
18.1	0.0
18.2	0.0
18.3	0.0
18.4	0.0
18.5	0.0
18.6	0.0
18.7	0.0
18.8	0.0
18.9	0.0
19.0	0.0
19.1	0.0
19.2	0.0
19.3	0.0
19.4	0.0
19.5	0.0
19.6	0.0
19.7	0.0
19.8	0.0
19.9	0.0
