Total number of dumps: 2500

z[A]	mass_density_pao[g/cm^3]
0.0	0.0
0.1	0.0
0.2	0.0
0.3	0.0
0.4	4.32350866980072e-06
0.5	2.449988246220408e-05
0.6	8.070549516961344e-05
0.7	0.00022482245082963747
0.8	0.0005404385837250899
0.9	0.0009108191597713517
1.0	0.0013287583311854215
1.1	0.0018043442848635007
1.2	0.002137254452438156
1.3	0.00234045935991879
1.4	0.0027713690573422617
1.5	0.00354527710923659
1.6	0.005026799413421637
1.7	0.007949491274206924
1.8	0.012275882283120845
1.9	0.01590907073531005
2.0	0.02234245163597352
2.1	0.02474632245638272
2.2	0.028356452195666324
2.3	0.029058301769730642
2.4	0.030483618461208277
2.5	0.031137909439904788
2.6	0.02815468845774229
2.7	0.02977744537847416
2.8	0.029326359307258285
2.9	0.02798318928050686
3.0	0.025840170149842308
3.1	0.023437740498989702
3.2	0.022522597830548552
3.3	0.020284461509148376
3.4	0.017168652927778662
3.5	0.017027418311231834
3.6	0.014613459303926433
3.7	0.014073020720201343
3.8	0.012221117839970035
3.9	0.01146738616186811
4.0	0.01104368231222764
4.1	0.010191951104276897
4.2	0.009527571938684186
4.3	0.00948001334331638
4.4	0.009592424568731198
4.5	0.008380400971630396
4.6	0.00907648586746831
4.7	0.008995780372298699
4.8	0.008417871380102002
4.9	0.009041897798109906
5.0	0.009622689129419803
5.1	0.01026689192122011
5.2	0.01109700558582185
5.3	0.013646434531447671
5.4	0.015704424658272816
5.5	0.018690527979548514
5.6	0.02066348910253424
5.7	0.024765057660618525
5.8	0.028157570796855488
5.9	0.03209052251681754
6.0	0.03798922951198233
6.1	0.04410122960152395
6.2	0.053032157343775636
6.3	0.05919171602868507
6.4	0.07075998405951518
6.5	0.0816653140943092
6.6	0.09309955335637551
6.7	0.10612916731759828
6.8	0.11928272186068865
6.9	0.12575933784805013
7.0	0.1340302099333789
7.1	0.13467729506429243
7.2	0.1373362528962199
7.3	0.13857709988445271
7.4	0.13601902392148726
7.5	0.1284110898321946
7.6	0.12298364528203809
7.7	0.1133811325264107
7.8	0.09876767322248424
7.9	0.08224178191694931
8.0	0.0685377006032376
8.1	0.053535125519029114
8.2	0.04189191667125578
8.3	0.03391360200591685
8.4	0.026707754222915648
8.5	0.02132930943768355
8.6	0.01720324099713707
8.7	0.0138064043522303
8.8	0.011239681371925271
8.9	0.008505782723054618
9.0	0.006408881018201268
9.1	0.004345126213149724
9.2	0.0029097213347758846
9.3	0.0018764027626935124
9.4	0.0013619052309872268
9.5	0.0008128196299225352
9.6	0.0006701438438191116
9.7	0.00044964490165927493
9.8	0.0003386748458010564
9.9	0.00019888139881083314
10.0	0.00014123461654682353
10.1	7.92643256130132e-05
10.2	4.467625625460744e-05
10.3	2.7382221575404563e-05
10.4	1.1529356452801921e-05
10.5	8.64701733960144e-06
10.6	1.4411695566002401e-06
10.7	0.0
10.8	0.0
10.9	0.0
11.0	0.0
11.1	0.0
11.2	1.4411695566002401e-06
11.3	0.0
11.4	0.0
11.5	0.0
11.6	0.0
11.7	0.0
11.8	0.0
11.9	0.0
12.0	0.0
12.1	0.0
12.2	0.0
12.3	0.0
12.4	0.0
12.5	0.0
12.6	0.0
12.7	0.0
12.8	0.0
12.9	0.0
13.0	0.0
13.1	0.0
13.2	0.0
13.3	0.0
13.4	0.0
13.5	0.0
13.6	0.0
13.7	0.0
13.8	0.0
13.9	0.0
14.0	0.0
14.1	0.0
14.2	0.0
14.3	0.0
14.4	0.0
14.5	0.0
14.6	0.0
14.7	0.0
14.8	0.0
14.9	0.0
15.0	0.0
15.1	0.0
15.2	0.0
15.3	0.0
15.4	0.0
15.5	0.0
15.6	0.0
15.7	0.0
15.8	0.0
15.9	0.0
16.0	0.0
16.1	0.0
16.2	0.0
16.3	0.0
16.4	0.0
16.5	0.0
16.6	0.0
16.7	0.0
16.8	0.0
16.9	0.0
17.0	0.0
17.1	0.0
17.2	0.0
17.3	0.0
17.4	0.0
17.5	0.0
17.6	0.0
17.7	0.0
17.8	0.0
17.9	0.0
18.0	0.0
18.1	0.0
18.2	0.0
18.3	0.0
18.4	0.0
18.5	0.0
18.6	0.0
18.7	0.0
18.8	0.0
18.9	0.0
19.0	0.0
19.1	0.0
19.2	0.0
19.3	0.0
19.4	0.0
19.5	0.0
19.6	0.0
19.7	0.0
19.8	0.0
19.9	0.0
