Total number of dumps: 2501

z[A]	mass_density_stea[g/cm^3]
0.0	0.009211153683428563
0.1	0.012570617303972105
0.2	0.011119939831464669
0.3	0.008584495589545013
0.4	0.007155427016826661
0.5	0.00709204091077867
0.6	0.015634759294064778
0.7	0.06014188989298963
0.8	0.13397373809902613
0.9	0.1762032906601811
1.0	0.22050153522781143
1.1	0.19891424433851257
1.2	0.13420135184347118
1.3	0.11637256892415433
1.4	0.15214682282164912
1.5	0.23221788069345492
1.6	0.3371694257824166
1.7	0.3913429375536602
1.8	0.41500612341603077
1.9	0.4101700516432328
2.0	0.3851483862807883
2.1	0.3781053255428648
2.2	0.41007641307748016
2.3	0.42624419189967583
2.4	0.43180344151874844
2.5	0.4103919030144008
2.6	0.3738310851645833
2.7	0.34541970372189035
2.8	0.3154351943745519
2.9	0.2943953289465766
3.0	0.26511238854572383
3.1	0.24816524873780182
3.2	0.232318722225804
3.3	0.22420386005834184
3.4	0.19681529987233246
3.5	0.15821172069578646
3.6	0.13260949622567503
3.7	0.1211466951842235
3.8	0.11498383696437563
3.9	0.11206519489952946
4.0	0.10622791076983715
4.1	0.10372271898762224
4.2	0.10357577846905644
4.3	0.09901918180019742
4.4	0.09724869261081148
4.5	0.09007597847415355
4.6	0.08462045157406849
4.7	0.08702048004397653
4.8	0.08642551500311696
4.9	0.0906507752085433
5.0	0.09953491420849699
5.1	0.10330638751835247
5.2	0.11469427770720184
5.3	0.12425261438057507
5.4	0.13938028482625595
5.5	0.15608684554985947
5.6	0.17867390820273346
5.7	0.20404995952171914
5.8	0.22933525346159056
5.9	0.25558286373873607
6.0	0.2969624662415203
6.1	0.3263822630077039
6.2	0.3629963828103346
6.3	0.3886807210996445
6.4	0.39603494999453076
6.5	0.3908055962455715
6.6	0.3714123289815247
6.7	0.3308164092444248
6.8	0.28150634051904533
6.9	0.22311621210229104
7.0	0.1728928072124928
7.1	0.12630834104717698
7.2	0.09112040863062613
7.3	0.064832461740541
7.4	0.04886636598304353
7.5	0.0370938373779484
7.6	0.028608742727433193
7.7	0.0235162453438048
7.8	0.019076336733806855
7.9	0.014562957864526016
8.0	0.010510568857412387
8.1	0.007100684470694307
8.2	0.004380844283907767
8.3	0.002402909656546582
8.4	0.0012979745806645504
8.5	0.0006208957206064609
8.6	0.00026362857742687315
8.7	9.507915907198706e-05
8.8	3.1693053023995686e-05
8.9	2.1608899789087965e-05
9.0	7.202966596362655e-06
9.1	4.3217799578175925e-06
9.2	0.0
9.3	0.0
9.4	0.0
9.5	0.0
9.6	0.0
9.7	0.0
9.8	0.0
9.9	0.0
10.0	0.0
10.1	0.0
10.2	0.0
10.3	0.0
10.4	0.0
10.5	0.0
10.6	0.0
10.7	0.0
10.8	0.0
10.9	0.0
11.0	0.0
11.1	0.0
11.2	0.0
11.3	0.0
11.4	0.0
11.5	0.0
11.6	0.0
11.7	0.0
11.8	0.0
11.9	0.0
12.0	0.0
12.1	0.0
12.2	0.0
12.3	0.0
12.4	0.0
12.5	0.0
12.6	0.0
12.7	0.0
12.8	0.0
12.9	0.0
13.0	0.0
13.1	0.0
13.2	0.0
13.3	0.0
13.4	0.0
13.5	0.0
13.6	0.0
13.7	0.0
13.8	0.0
13.9	0.0
14.0	0.0
14.1	0.0
14.2	0.0
14.3	0.0
14.4	0.0
14.5	0.0
14.6	0.0
14.7	0.0
14.8	0.0
14.9	0.0
15.0	0.0
15.1	0.0
15.2	0.0
15.3	0.0
15.4	0.0
15.5	0.0
15.6	0.0
15.7	0.0
15.8	0.0
15.9	0.0
16.0	0.0
16.1	0.0
16.2	0.0
16.3	0.0
16.4	0.0
16.5	0.0
16.6	0.0
16.7	0.0
16.8	0.0
16.9	0.0
17.0	0.0
17.1	0.0
17.2	0.0
17.3	0.0
17.4	0.0
17.5	0.0
17.6	0.0
17.7	0.0
17.8	0.0
17.9	0.0
18.0	0.0
18.1	0.0
18.2	0.0
18.3	0.0
18.4	0.0
18.5	0.0
18.6	0.0
18.7	0.0
18.8	0.0
18.9	0.0
19.0	0.0
19.1	0.0
19.2	0.0
19.3	0.0
19.4	0.0
19.5	0.0
19.6	0.0
19.7	0.0
19.8	0.0
19.9	0.0
